timestamp,text
0:10,Good afternoon everyone and Welcome to MIT  6.S191 -- Introduction to Deep Learning. My  
0:17,name is Alexander Amini and I'm so excited to  be your instructor this year along with Ava   Soleimany in this new virtual format. 6.S191 is  a two-week bootcamp on everything deep learning  
0:28,and we'll cover a ton of material in  only two weeks so I think it's really   important for us to dive right in with  these lectures but before we do that I  
0:36,do want to motivate exactly why I think  this is such an awesome field to study   and when we taught this class last year I decided  to try introducing the class very differently and  
0:46,instead of me telling the class how great  6.S191 is I wanted to let someone else do  
0:53,that instead so actually I want to start this year  by showing you how we introduced 6s191 last year.
1:00,[Obama] Hi everybody and welcome to MIT  6.S191 the official introductory course on  
1:10,deep learning taught here at MIT. Deep learning  is revolutionizing so many things from robotics  
1:20,to medicine and everything in between you'll  learn the fundamentals of this field and how you  
1:28,"can build some of these incredible algorithms.  In fact, this entire speech and video  "
1:38,are not real and were created using deep learning  and artificial intelligence and in this class  
1:47,you'll learn how. It has been an honor to speak  with you today and I hope you enjoy the course.
1:59,So in case you couldn't tell that was  actually not a real video or audio   and the audio you actually heard was purposely  degraded a bit more to even make it more obvious  
2:09,that this was not real and avoid some potential  misuse even with the purposely degraded audio  
2:15,that intro went somewhat viral last year  after the course and we got some really   great and interesting feedback and to be  honest after last year and when we did  
2:25,when we did this i thought it was going to  be really hard for us to top it this year  
2:30,but actually i was wrong because the one thing  i love about this field is that it's moving so   incredibly fast that even within the past year  the state of the art has significantly advanced  
2:41,and the video you saw that we used last year used  deep learning but it was not a particularly easy  
2:47,video to create it required a full video of obama  speaking and it used this to intelligently stitch  
2:54,together parts of the scene to make it look and  appear like he was mouthing the words that i said  
3:00,and to see the behind the scenes here now  you can see the same video with my voice. [Alexander] Hi everybody and welcome to mit 6.S191  
3:11,the official introductory course on  deep learning taught here at MIT.
3:18,Now it's actually possible to use just a single  static image not the full video to achieve  
3:25,the exact same thing and now you can actually  see eight more examples of obama now just  
3:32,created using just a single static image no more  full dynamic videos but we can achieve the same  
3:39,incredible realism and result using deep learning  now of course there's nothing restricting us to  
3:47,one person this method generalizes to different  faces and there's nothing restricting us even  
3:53,to humans anymore or individuals that  the algorithm has ever seen before [Alexander] Hi everybody and welcome to mit  
4:04,6.S191 the official introductory course  on deep learning taught here at MIT.
4:13,The ability to generate these types of  dynamic moving videos from only a single  
4:19,image is remarkable to me and it's a testament  to the true power of deep learning in this class  
4:25,you're going to actually not only learn about  the technical basis of this technology but also  
4:32,some of the very important and very important  ethical and societal implications of this work  
4:40,as well now I hope this was a really great way  to get you excited about this course and 6.S191  
4:47,and with that let's get started we can actually  start by taking a step back and asking ourselves  
4:52,what is deep learning defining deep learning  in the context of intelligence intelligence is  
4:58,actually the ability to process information such  that it can be used to inform a future decision  
5:06,now the field of artificial intelligence or AI  is a science that actually focuses on building  
5:12,algorithms to do exactly this to build algorithms  to process information such that they can inform  
5:18,future predictions now machine learning you  can think of this as just a subset of AI  
5:26,that actually focuses on teaching an algorithm to  learn from experiences without being explicitly  
5:31,programmed now deep learning takes this idea even  further and it's a subset of machine learning that  
5:37,focuses on using neural networks to automatically  extract useful patterns in raw data and then using  
5:44,these patterns or features to learn to perform  that task and that's exactly what this class is  
5:50,about this class is about teaching algorithms  how to learn a task directly from raw data  
5:57,and we want to provide you with a solid  foundation both technically and practically   for you to understand under the hood how these  algorithms are built and how they can learn
6:10,so this course is split between technical  lectures as well as project software labs we'll  
6:16,cover the foundation starting today with neural  networks which are really the building blocks  
6:21,of everything that we'll see in this  course and this year we also have two   brand new really exciting hot topic lectures  focusing on uncertainty and probabilistic deep  
6:31,learning as well as algorithmic bias and fairness  finally we'll conclude with some really exciting  
6:38,guest lectures and student project presentations  as part of a final project competition that all of  
6:44,you will be eligible to win some really exciting  prizes now a bit of logistics before we dive into  
6:52,the technical side of the lecture for those of you  taking this course for credit you will have two   options to fulfill your credit requirement the  first option will be to actually work in teams  
7:03,of or teams of up to four or individually  to develop a cool new deep learning idea  
7:10,now doing so will make you eligible to win some of  the prizes that you can see on the right hand side  
7:16,and we realize that in the context of this  class which is only two weeks that's an   extremely short amount of time to come up  with an impressive project or research idea  
7:25,so we're not going to be judging you on the  novelty of that idea but rather we're not  
7:30,going to be judging you on the results of that  idea but rather the novelty of the idea your   thinking process and how you how impactful this  idea can be but not on the results themselves  
7:43,on the last day of class you will actually  give a three-minute presentation to a group   of judges who will then award the winners and the  prizes now again three minutes is extremely short  
7:54,to actually present your ideas and present your  project but i do believe that there's an art to  
8:00,presenting and conveying your ideas concisely  and clearly in such a short amount of time  
8:06,so we will be holding you strictly to that  to that strict deadline the second option  
8:13,to fulfill your grade requirement is to write a  one-page review on a deep learning paper here the  
8:19,grade is based more on the clarity of the writing  and the technical communication of the main ideas  
8:24,this will be due on thursday the last thursday  of the class and you can pick whatever deep   learning paper you would like if you would  like some pointers we have provided some  
8:34,guide papers that can help you get started if  you would just like to use one of those for   your review in addition to the final project  prizes we'll also be awarding this year three  
8:46,lab prizes one associated to each of the software  labs that students will complete again completion  
8:52,of the software labs is not required for grade of  this course but it will make you eligible for some  
8:58,of these cool prices so please we encourage  everyone to compete for these prizes and  
9:04,get the opportunity to win them all please  post the piazza if you have any questions  
9:11,visit the course website for announcements  and digital recordings of the lectures etc  
9:17,and please email us if you have any  questions also there are software labs  
9:22,and office hours right after each of these  technical lectures held in gather town so  
9:28,please drop by in gather town to ask any questions  about the software labs specifically on those or  
9:33,more generally about past software labs or  about the lecture that occurred that day
9:40,now this team all this course has a incredible  group of TA's and teaching assistants that  
9:47,you can reach out to at any time  in case you have any issues or   questions about the material that you're learning
9:55,and finally we want to give a  huge thanks to all of our sponsors   who without their help this class would  not be possible this is the fourth year  
10:04,that we're teaching this class and each year it  just keeps getting bigger and bigger and bigger   and we really give a huge shout out to our  sponsors for helping us make this happen each year  
10:15,and especially this year in light of the virtual  format so now let's start with the fun stuff  
10:21,let's start by asking ourselves a question about  why why do we all care about deep learning and  
10:27,specifically why do we care right now understand  that it's important to actually understand first  
10:36,why is deep learning or how is deep learning  different from traditional machine learning  
10:41,now traditionally machine learning algorithms  define a set of features in their data usually  
10:47,these are features that are handcrafted or hand  engineered and as a result they tend to be pretty  
10:54,brittle in practice when they're deployed the  key idea of deep learning is to learn these  
11:00,features directly from data in a hierarchical  manner that is can we learn if we want to learn  
11:05,how to detect a face for example can we learn  to first start by detecting edges in the image  
11:12,composing these edges together to detect  mid-level features such as a eye or a nose  
11:18,or a mouth and then going deeper and composing  these features into structural facial features  
11:25,so that we can recognize this face this is this  hierarchical way of thinking is really core  
11:32,to deep learning as core to everything  that we're going to learn in this class  
11:37,actually the fundamental building blocks though  of deep learning and neural networks have actually  
11:43,existed for decades so one interesting thing to  consider is why are we studying this now now is an  
11:50,incredibly amazing time to study these algorithms  and for one reason is because data has become  
11:56,much more pervasive these models are extremely  hungry for data and at the moment we're living  
12:03,in an era where we have more data than ever  before secondly these algorithms are massively  
12:10,parallelizable so they can benefit tremendously  from modern gpu hardware that simply did not exist  
12:16,when these algorithms were developed and finally  due to open source toolboxes like tensorflow  
12:23,building and deploying these models  has become extremely streamlined
12:29,so let's start actually with  the fundamental building block   of deep learning and of every neural network that  is just a single neuron also known as a perceptron  
12:40,so we're going to walk through exactly what is  a perceptron how it's defined and we're going to  
12:45,build our way up to deeper neural networks all the  way from there so let's start we're really at the  
12:51,basic building block the idea of a perceptron  or a single neuron is actually very simple so  
12:58,i think it's really important for all of you  to understand this at its core let's start by  
13:04,actually talking about the forward propagation  of information through this single neuron we  
13:10,can define a set of inputs x i through x m  which you can see on the left hand side and  
13:16,each of these inputs or each of these numbers  are multiplied by their corresponding weight  
13:22,and then added together we take this single number  the result of that addition and pass it through  
13:29,what's called a nonlinear activation function  to produce our final output y we can actually  
13:39,actually this is not entirely correct because one  thing i forgot to mention is that we also have   what's called a bias term in here which allows  you to shift your activation function left or  
13:48,right now on the right hand side of this diagram  you can actually see this concept illustrated or  
13:55,written out mathematically as a single equation  you can actually rewrite this in terms of linear  
14:02,algebra matrix multiplications and dot products  to to represent this a bit more concisely  
14:10,so let's do that let's now do that with x  capital x which is a vector of our inputs  
14:17,x1 through xm and capital w which is a vector  of our weights w1 through wm so each of these  
14:24,are vectors of length m and the output is very  simply obtained by taking their dot product  
14:32,adding a bias which in this case is  w0 and then applying a non-linearity g
14:41,one thing is that i haven't i've been mentioning  it a couple of times this non-linearity g what  
14:47,exactly is it because i've mentioned it now a  couple of times well it is a non-linear function  
14:53,one common example of this nonlinear activation  function is what is known as the sigmoid function  
15:00,defined here on the right in fact there  are many types of nonlinear functions  
15:05,you can see three more examples here including the  sigmoid function and throughout this presentation  
15:11,you'll actually see these tensorflow code  blocks which will actually illustrate  
15:17,uh how we can take some of the topics that we're  learning in this class and actually practically  
15:23,use them using the tensorflow software library now  the sigmoid activation function which i presented  
15:30,on the previous slide is very popular since it's  a function that gives outputs it takes as input  
